,SKU,Wayfair SKU,Problem_Number,total_qty
477,S485B-L22-W1-1-FM (FAN BLADES ONLY),S485B-L22-W1-1-FM (FAN BLADES ONLY),9,2
478,S485B-L22-W1-1-FM (LAMPSHADE ONLY),S485B-L22-W1-1-FM (LAMPSHADE ONLY),8,2
479,S485B-L22-W1-1-FM (MOTOR ONLY),S485B-L22-W1-1-FM (MOTOR ONLY),3,2
480,S485B-L22-W1-1-FM (MOUNTING PLATE ONLY),S485B-L22-W1-1-FM (MOUNTING PLATE ONLY),10,2
481,S485B-L22-W1-1-FM (SCREWS ONLY),S485B-L22-W1-1-FM (SCREWS ONLY),10,1
482,S485J1-L11-BG-1 (FAN BLADES ONLY),S485J1-L11-BG-1 (FAN BLADES ONLY),9,1
483,S485J1-L11-BG-1-FM (MOTOR ONLY),S485J1-L11-BG-1-FM (MOTOR ONLY),3,2
484,S485J1-L11-BO-1-FM (MOTOR ONLY),S485J1-L11-BO-1-FM (MOTOR ONLY),3,1
485,S485J1-L11-W1-1G-FM (MOTOR ONLY),S485J1-L11-W1-1G-FM (MOTOR ONLY),3,1
486,S485J1-L12-W1-1 (LED BOARD & MAGNETS ONLY),S485J1-L12-W1-1 (LED BOARD & MAGNETS ONLY),10,1
487,S485Q-L12-B5-1-FM (MOTOR ONLY),S485Q-L12-B5-1-FM (MOTOR ONLY),3,1
488,S485Q-L12-BG-1-FM,S485Q-L12-BG-1-FM,17,1
489,S485Q-L12-BG-1-FM (MOTOR ONLY),S485Q-L12-BG-1-FM (MOTOR ONLY),3,1
490,S485Q-L12-W1-1-FMA (MOTOR ONLY),S485Q-L12-W1-1-FMA (MOTOR ONLY),2,1
491,S485Q5-L12-B2-1-FM (LAMPSHADE ONLY),S485Q5-L12-B2-1-FM (LAMPSHADE ONLY),8,1
492,S485Q5-L12-B2-1-FM(MOTOR ONLY),S485Q5-L12-B2-1-FM(MOTOR ONLY),3,2
493,S485Q5-L12-W1-1-FMA (FAN BLADES ONLY),S485Q5-L12-W1-1-FMA (FAN BLADES ONLY),9,1
494,S485Q5-L12-W1-1-FMA (LAMPSHADE ONLY),S485Q5-L12-W1-1-FMA (LAMPSHADE ONLY),8,2
495,S485Q5-L12-W1-1FMA (LAMPSHADE ONLY),S485Q5-L12-W1-1FMA (LAMPSHADE ONLY),8,1
496,S523A-L12-B5-1 (MOTOR ONLY),S523A-L12-B5-1 (MOTOR ONLY),3,2
497,S523A-L12-W1-1 (LED BOARD ONLY),S523A-L12-W1-1 (LED BOARD ONLY),8,1
498,S523A-N10-W1-1A (MOTOR ONLY),S523A-N10-W1-1A (MOTOR ONLY),3,1
499,S523A1-L12-B2-1-FM  (MOTOR ONLY),S523A1-L12-B2-1-FM  (MOTOR ONLY),3,1
500,S523A1-L22-B2-1-FM (MOTOR ONLY),S523A1-L22-B2-1-FM (MOTOR ONLY),3,1
501,S523A2-L12-BM2-1-FM,S523A2-L12-BM2-1-FM,4,2
502,S523A2-L12-BM2-1-FM,S523A2-L12-BM2-1-FM,5,2
503,S523A2-L12-BM2-1-FM (FAN BLADES ONLY),S523A2-L12-BM2-1-FM (FAN BLADES ONLY),8,1
504,S523A2-L12-BM2-1-FM (MOTOR ONLY),S523A2-L12-BM2-1-FM (MOTOR ONLY),3,6
505,S523A2-L12-SM2-1 (LAMPSHADE ONLY),S523A2-L12-SM2-1 (LAMPSHADE ONLY),8,1
506,S523A2-L12-SM2-1-FM,S523A2-L12-SM2-1-FM,3,1
507,S523A2-L12-SM2-1-FM,S523A2-L12-SM2-1-FM,4,1
508,S523A2-L12-SM2-1-FM,S523A2-L12-SM2-1-FM,5,1
509,S523A2-L12-SM2-1-FM (MOTOR ONLY),S523A2-L12-SM2-1-FM (MOTOR ONLY),3,5
510,S523A4-L12-B2-1-FMA (LED BOARD ONLY),S523A4-L12-B2-1-FMA (LED BOARD ONLY),1,1
511,S523B-L12-W1 (MOTOR&SCREWS ONLY),S523B-L12-W1 (MOTOR&SCREWS ONLY),8,1
512,S523B-L12-W1-1 (LED BOARD ONLY),S523B-L12-W1-1 (LED BOARD ONLY),8,1
513,S523B-L12-W6-1 (MOTOR ONLY),S523B-L12-W6-1 (MOTOR ONLY),5,1
514,S523B3-L22-B2-1G (LAMPSHADE ONLY),S523B3-L22-B2-1G (LAMPSHADE ONLY),8,1
515,S523B3-L22-W1-1 (LAMPSHADE ONLY),S523B3-L22-W1-1 (LAMPSHADE ONLY),8,2
516,S523E4-L12-SM2-1 (FAN BLADES ONLY),S523E4-L12-SM2-1 (FAN BLADES ONLY),9,1
517,S523E4-L12-SM2-1 (MOTOR ONLY),S523E4-L12-SM2-1 (MOTOR ONLY),3,1
518,S523F-L12-B2-1 (FAN BLADES ONLY),S523F-L12-B2-1 (FAN BLADES ONLY),17,1
519,S523F3-L12-SM2-1 (FAN BLADE ONLY),S523F3-L12-SM2-1 (FAN BLADE ONLY),9,1
520,S523F3-L12-SM2-1 (LAMPSHADE ONLY),S523F3-L12-SM2-1 (LAMPSHADE ONLY),8,2
521,S523F3-L12-SM2-1-FM (FAN BLADE ONLY),S523F3-L12-SM2-1-FM (FAN BLADE ONLY),9,1
522,S523F3-L12-SM2-1-FM (LED BOARD ONLY),S523F3-L12-SM2-1-FM (LED BOARD ONLY),10,1
523,S523F3-L12-SM2-1-FM (MOTOR ONLY),S523F3-L12-SM2-1-FM (MOTOR ONLY),3,1
524,S523F3-L12-WM1-1 (FAN BLADES ONLY),S523F3-L12-WM1-1 (FAN BLADES ONLY),9,1
525,S523F3-L12-WM1-1-FM (FAN BLADE ONLY),S523F3-L12-WM1-1-FM (FAN BLADE ONLY),8,1
526,S523F3-L12-WM1-1-FM (FAN BLADES ONLY),S523F3-L12-WM1-1-FM (FAN BLADES ONLY),8,1
527,S523F3-L12-WM1-1-FM (LAMPSHADE ONLY),S523F3-L12-WM1-1-FM (LAMPSHADE ONLY),8,1
528,S523F3-L12-WM1-1-FM (LED BOARD ONLY),S523F3-L12-WM1-1-FM (LED BOARD ONLY),8,1
529,S523F3-L12-WM1-1-FM (MOTOR ONLY),S523F3-L12-WM1-1-FM (MOTOR ONLY),1,1
530,S523F3-L12-WM1-1-FM (MOTOR ONLY),S523F3-L12-WM1-1-FM (MOTOR ONLY),2,1
531,S523F3-L12-WM1-1-FM (MOTOR ONLY),S523F3-L12-WM1-1-FM (MOTOR ONLY),3,2
532,S523F3-L12-WM1-1-FM (MOTOR ONLY),S523F3-L12-WM1-1-FM (MOTOR ONLY),8,1
533,S523F3-L12-WM1-FM (MOTOR ONLY),S523F3-L12-WM1-FM (MOTOR ONLY),9,1
534,S523J3-L11-B2-1G,S523J3-L11-B2-1G,6,2
535,S523J3-L11-BS-1 (LAMPSHADE ONLY),S523J3-L11-BS-1 (LAMPSHADE ONLY),8,1
536,S523J3-L11-BS-1 (LED BOARD ONLY),S523J3-L11-BS-1 (LED BOARD ONLY),8,1
537,S523J3-L11-W1-1 (MOTOR ONLY),S523J3-L11-W1-1 (MOTOR ONLY),3,1
538,S523J3-L11-W1-1-FMA (LAMPSHADE ONLY),S523J3-L11-W1-1-FMA (LAMPSHADE ONLY),8,2
539,S523K-L12-B2-1,S523K-L12-B2-1,17,1
540,S523K-L12-B2-1,S523K-L12-B2-1,5,1
541,S523K-L12-B2-1 (MOTOR ONLY),S523K-L12-B2-1 (MOTOR ONLY),3,1
542,S523K-L12-W1-1 (LED BOARD ONLY),S523K-L12-W1-1 (LED BOARD ONLY),8,1
543,S523K-L12-W1-1 (MOTOR ONLY),S523K-L12-W1-1 (MOTOR ONLY),3,1
544,S523N-L12-W1-1 (MOTOR ONLY),S523N-L12-W1-1 (MOTOR ONLY),4,1
545,S523N1-L11-W1-1-FM (LED BOARD ONLY),S523N1-L11-W1-1-FM (LED BOARD ONLY),8,1
546,S523N1-L11-W1-1-FM (MOTOR ONLY),S523N1-L11-W1-1-FM (MOTOR ONLY),3,1
547,S523N3-L11-SM2-1-FM (LED BOARD & MAGNETS ONLY),S523N3-L11-SM2-1-FM (LED BOARD & MAGNETS ONLY),8,1
548,S523N3-L11-SM2-1-FM (MOTOR ONLY),S523N3-L11-SM2-1-FM (MOTOR ONLY),3,1
549,S523N4-L11-B2-1-FM (MOTOR ONLY),S523N4-L11-B2-1-FM (MOTOR ONLY),3,1
550,S523N4-L11-W1-1-FM (FAN BLADES ONLY),S523N4-L11-W1-1-FM (FAN BLADES ONLY),17,3
551,S523P-L12-G2-1,S523P-L12-G2-1,4,2
552,S523P-L12-G2-1,S523P-L12-G2-1,5,2
553,S523P-L12-G2-1 (FAN  BLADES ONLY),S523P-L12-G2-1 (FAN  BLADES ONLY),9,1
554,S523P-L12-G2-1 (LAMPSHADE ONLY),S523P-L12-G2-1 (LAMPSHADE ONLY),8,3
555,S523P-L12-G2-1 (LED BOARD & MAGNETS ONLY),S523P-L12-G2-1 (LED BOARD & MAGNETS ONLY),10,1
556,S523P-L12-G2-1 (MOTOR ONLY),S523P-L12-G2-1 (MOTOR ONLY),3,5
557,S523P-L12-G2-1(MOTOR ONLY),S523P-L12-G2-1(MOTOR ONLY),3,2
558,S523P-L12-G2-1-FM,S523P-L12-G2-1-FM,4,2
559,S523P-L12-G2-1-FM,S523P-L12-G2-1-FM,5,2
560,S523P-L12-G2-1-FM (FAN BLADES ONLY),S523P-L12-G2-1-FM (FAN BLADES ONLY),8,1
561,S523P-L12-G2-1-FM (LED BOARD ONLY),S523P-L12-G2-1-FM (LED BOARD ONLY),8,1
562,S523P-L12-G2-1-FM (MOTOR ONLY),S523P-L12-G2-1-FM (MOTOR ONLY),3,4
563,S523P-L12-G2-1-FM(MOTOR ONLY),S523P-L12-G2-1-FM(MOTOR ONLY),3,2
564,S523P-L12-G2-1FM (MOTOR ONLY),S523P-L12-G2-1FM (MOTOR ONLY),3,1
565,S523P-L12-W1-1 (LAMPSHADE ONLY),S523P-L12-W1-1 (LAMPSHADE ONLY),8,2
566,S523P-L12-W1-1 (LED BOARD ONLY),S523P-L12-W1-1 (LED BOARD ONLY),8,2
567,S523P-L12-W1-1 (MOTOR ONLY),S523P-L12-W1-1 (MOTOR ONLY),3,1
568,S523P-L12-W1-1(MOTOR ONLY),S523P-L12-W1-1(MOTOR ONLY),3,1
569,S523P-L12-W1-1-FM (MOTOR ONLY),S523P-L12-W1-1-FM (MOTOR ONLY),3,1
570,S523P-L12-W1-1-FM(MOTOR ONLY),S523P-L12-W1-1-FM(MOTOR ONLY),3,1
571,S523P-L12-W1-FM (MOTOR ONLY),S523P-L12-W1-FM (MOTOR ONLY),3,1
572,S523P-L22-WQ-1-FM,S523P-L22-WQ-1-FM,5,1
573,S523P-L22-WQ-1-FM,S523P-L22-WQ-1-FM,6,1
574,S523P-L22-WR-1-FM,S523P-L22-WR-1-FM,4,1
575,S523P-L22-WR-1-FM,S523P-L22-WR-1-FM,5,1
576,S523P1-L22-B2-1-FM (LAMPSHADE ONLY),S523P1-L22-B2-1-FM (LAMPSHADE ONLY),8,1
577,S523P1-L22-B2-1-FM (SCREWS ONLY),S523P1-L22-B2-1-FM (SCREWS ONLY),10,1
578,S523P1-L22-B2-1-FMA,S523P1-L22-B2-1-FMA,8,1
579,S523P1-L22-B2-1-FMA (MOTOR ONLY),S523P1-L22-B2-1-FMA (MOTOR ONLY),3,2
580,S523P2-L22-W1-1 (LAMPSHADE ONLY),S523P2-L22-W1-1 (LAMPSHADE ONLY),8,1
581,S523P3-L12-SM2-1-FM (Fan Blades only),S523P3-L12-SM2-1-FM (Fan Blades only),8,1
582,S523Q-L12-B2-1 (MOTOR ONLY),S523Q-L12-B2-1 (MOTOR ONLY),3,1
583,S523Q-L12-BG-1,S523Q-L12-BG-1,4,1
584,S523Q-L12-BG-1,S523Q-L12-BG-1,5,1
585,S523Q-L12-BG-1 (MOTOR + REMOTE ONLY),S523Q-L12-BG-1 (MOTOR + REMOTE ONLY),14,1
586,S523Q-L12-BG-1 (MOTOR + REMOTE ONLY),S523Q-L12-BG-1 (MOTOR + REMOTE ONLY),3,1
587,S523Q-L12-BG-1 (MOTOR ONLY),S523Q-L12-BG-1 (MOTOR ONLY),3,1
588,S523Q-L12-BO-1 (MOTOR ONLY),S523Q-L12-BO-1 (MOTOR ONLY),3,1
589,S523Q-L12-W1-1 (LED BOARD ONLY),S523Q-L12-W1-1 (LED BOARD ONLY),1,1
590,S523Q-L12-W1-1 (MOTOR ONLY),S523Q-L12-W1-1 (MOTOR ONLY),2,1
591,S523Q-L12-W1-1 (MOTOR ONLY),S523Q-L12-W1-1 (MOTOR ONLY),3,1
592,S523Q-L12-W1-1(MOTOR ONLY),S523Q-L12-W1-1(MOTOR ONLY),3,1
593,S523Q3-L12-SC-1 (MOTOR ONLY),S523Q3-L12-SC-1 (MOTOR ONLY),3,1
594,S523Q5-L12-W1-1-FMA,S523Q5-L12-W1-1-FMA,4,1
595,S523Q5-L12-W1-1-FMA,S523Q5-L12-W1-1-FMA,5,1
596,S523Q5-L12-W1-1-FMA (MOTOR ONLY),S523Q5-L12-W1-1-FMA (MOTOR ONLY),3,1
597,S523Q7-L12-W1-1-FMA (FAN BLADE ASSEMBLY ONLY),S523Q7-L12-W1-1-FMA (FAN BLADE ASSEMBLY ONLY),17,1
598,S523Q7-L12-W1-1-FMA (FAN BLADES ONLY),S523Q7-L12-W1-1-FMA (FAN BLADES ONLY),9,1
599,S5255B-L22-B2-1 (LED BOARD ONLY),S5255B-L22-B2-1 (LED BOARD ONLY),8,1
600,S525B-L12-W1-1 (SCREWS ONLY),S525B-L12-W1-1 (SCREWS ONLY),10,1
601,S525B-L22-B2-1 (FAN BLADES ONLY),S525B-L22-B2-1 (FAN BLADES ONLY),10,1
602,S525B-L22-B2-1 (FAN BLADES ONLY),S525B-L22-B2-1 (FAN BLADES ONLY),9,2
603,S525B-L22-B2-1 (LED BOARD & MAGNETS ONLY),S525B-L22-B2-1 (LED BOARD & MAGNETS ONLY),10,1
604,S525B-L22-B2-1 (SCREWS ONLY),S525B-L22-B2-1 (SCREWS ONLY),10,1
605,S525B-L22-B2-1(MOTOR ONLY),S525B-L22-B2-1(MOTOR ONLY),3,1
606,S525B-L22-B2-1-FM (8x washers),S525B-L22-B2-1-FM (8x washers),10,8
607,S525B-L22-B2-1-FM (FAN BLADE BRACKET ONLY),S525B-L22-B2-1-FM (FAN BLADE BRACKET ONLY),9,1
608,S525B-L22-B2-1-FM (LAMPSHADE ONLY),S525B-L22-B2-1-FM (LAMPSHADE ONLY),8,1
609,S525B-L22-B2-1-FM (SCREWS ONLY),S525B-L22-B2-1-FM (SCREWS ONLY),10,1
610,S525B-L22-B2-1-FM(MOTOR ONLY),S525B-L22-B2-1-FM(MOTOR ONLY),5,1
611,S525B-L22-B5-1,S525B-L22-B5-1,15,2
612,S525B-L22-B5-1 (LAMPSHADE ONLY),S525B-L22-B5-1 (LAMPSHADE ONLY),8,1
613,S525B-L22-BS-1-FM (SCREWS ONLY),S525B-L22-BS-1-FM (SCREWS ONLY),10,1
614,S525B-L22-W1-1 (FAN BLADE BRACKET ONLY),S525B-L22-W1-1 (FAN BLADE BRACKET ONLY),17,1
615,S525B-L22-W1-1 (MOTOR ONLY),S525B-L22-W1-1 (MOTOR ONLY),3,2
616,S525B-L22-W1-1-FM (FAN BLADES ONLY),S525B-L22-W1-1-FM (FAN BLADES ONLY),8,1
617,S525B-L22-W1-1-FM (LAMPSHADE ONLY),S525B-L22-W1-1-FM (LAMPSHADE ONLY),8,2
618,S525B-L22-W1-1-FM (MOTOR ONLY),S525B-L22-W1-1-FM (MOTOR ONLY),14,1
619,S525B3-L22-B2-1G (LAMPSHADE ONLY),S525B3-L22-B2-1G (LAMPSHADE ONLY),8,6
620,S525B3-L22-B5-1 (FAN BLADE BRAKET ONLY),S525B3-L22-B5-1 (FAN BLADE BRAKET ONLY),10,1
621,S525B3-L22-B5-1 (LAMPSHADE ONLY),S525B3-L22-B5-1 (LAMPSHADE ONLY),8,3
622,S525B3-L22-BS-1 (LAMPSHADE ONLY),S525B3-L22-BS-1 (LAMPSHADE ONLY),8,2
623,S525B3-L22-W1-1 (Blade Bracket Only),S525B3-L22-W1-1 (Blade Bracket Only),8,1
624,S525B3-L22-W1-1 (FAN BLADE BRACKET ONLY),S525B3-L22-W1-1 (FAN BLADE BRACKET ONLY),9,1
625,S525B3-L22-W1-1 (LAMPSHADE ONLY),S525B3-L22-W1-1 (LAMPSHADE ONLY),10,1
626,S525B3-L22-W1-1 (LAMPSHADE ONLY),S525B3-L22-W1-1 (LAMPSHADE ONLY),8,3
627,S525B3-L22-W1-1 (MOTOR ONLY),S525B3-L22-W1-1 (MOTOR ONLY),3,1
628,S525B3-L22-W1-1 (blade screws + bracket screws),S525B3-L22-W1-1 (blade screws + bracket screws),8,2
629,S525B5-L11-B2-1G (MOTOR ONLY),S525B5-L11-B2-1G (MOTOR ONLY),3,1
630,S525E-L12-B2-1 (FAN BLADE BRAKET ONLY),S525E-L12-B2-1 (FAN BLADE BRAKET ONLY),10,1
631,S525E-L12-B2-1G (FAN BLADE BRACKET ONLY),S525E-L12-B2-1G (FAN BLADE BRACKET ONLY),17,1
632,S525E-L12-B2-1G (LAMPSHADE ONLY),S525E-L12-B2-1G (LAMPSHADE ONLY),8,2
633,S525E-L12-B3-1 (LAMPSHADE ONLY),S525E-L12-B3-1 (LAMPSHADE ONLY),8,1
634,S525E-L12-B3-1 (LED BOARD ONLY),S525E-L12-B3-1 (LED BOARD ONLY),8,1
635,S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),4,1
636,S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),5,1
637,S525E-L12-B3-1 (MOTOR ONLY),S525E-L12-B3-1 (MOTOR ONLY),3,1
638,S525E-L12-BF-1 (MOTOR ONLY),S525E-L12-BF-1 (MOTOR ONLY),3,2
639,S525E-L12-BG-1 (LAMPSHADE ONLY),S525E-L12-BG-1 (LAMPSHADE ONLY),8,1
640,S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),4,1
641,S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),5,1
642,S525E-L12-BO-1(LED BOARD & MAGNETS ONLY),S525E-L12-BO-1(LED BOARD & MAGNETS ONLY),8,1
643,S525E2-L11-B2-1G-FM (SCREWS ONLY),S525E2-L11-B2-1G-FM (SCREWS ONLY),10,1
644,S525E3-L12-W1-1G (LAMSHADE ONLY),S525E3-L12-W1-1G (LAMSHADE ONLY),8,1
645,S525E3-L12-W1-1G-1 (LAMPSHADE ONLY),S525E3-L12-W1-1G-1 (LAMPSHADE ONLY),8,1
646,S525E5-L12-W1-1 (MANUAL ONLY),S525E5-L12-W1-1 (MANUAL ONLY),10,1
647,S525H-L13-B5-1 (FAN BLADE GROMMETS ONLY),S525H-L13-B5-1 (FAN BLADE GROMMETS ONLY),10,5
648,S525H-L13-B5-1 (FAN BLADE SCREWS ONLY),S525H-L13-B5-1 (FAN BLADE SCREWS ONLY),10,10
649,S525H-L13-B5-1 (LAMPSHADE COVER ONLY),S525H-L13-B5-1 (LAMPSHADE COVER ONLY),10,1
650,S525H-L13-B5-1 (MOTOR ONLY),S525H-L13-B5-1 (MOTOR ONLY),3,1
651,S525H-L13-G2-1 (FAN BLADE GROMMETS ONLY),S525H-L13-G2-1 (FAN BLADE GROMMETS ONLY),10,5
652,S525H-L13-G2-1 (FAN BLADES ONLY),S525H-L13-G2-1 (FAN BLADES ONLY),10,2
653,S525H-L13-G2-1 (FAN BLADES ONLY),S525H-L13-G2-1 (FAN BLADES ONLY),17,1
654,S525H-L13-G2-1 (MOTOR & ADAPTER ONLY),S525H-L13-G2-1 (MOTOR & ADAPTER ONLY),3,1
655,S525H-L13-G2-1 (MOTOR ONLY),S525H-L13-G2-1 (MOTOR ONLY),3,2
656,S525H-L13-G2-1 (SCREWS ONLY),S525H-L13-G2-1 (SCREWS ONLY),10,2
657,S525H-L13-G2-1(FAN BLADE GROMMETS ONLY BLACK),S525H-L13-G2-1(FAN BLADE GROMMETS ONLY BLACK),10,5
658,S525H-L13-W1-1 (FAN BLADE GROMMETS ONLY),S525H-L13-W1-1 (FAN BLADE GROMMETS ONLY),10,10
659,S525H-L13-W1-1 (FAN BLADES ONLY),S525H-L13-W1-1 (FAN BLADES ONLY),9,5
660,S525H-L13-W1-1 (LAMPSHADE ONLY),S525H-L13-W1-1 (LAMPSHADE ONLY),9,1
661,S525H-L13-W1-1 (LED BOARD & MAGNETS ONLY),S525H-L13-W1-1 (LED BOARD & MAGNETS ONLY),10,1
662,S525J-L12-B2-1 (LED BOARD & MAGNETS ONLY),S525J-L12-B2-1 (LED BOARD & MAGNETS ONLY),10,1
663,S525J-L12-B2-1 (LED BOARD + MAGNETS ONLY),S525J-L12-B2-1 (LED BOARD + MAGNETS ONLY),8,1
664,S525J-L12-B5-1,S525J-L12-B5-1,4,1
665,S525J-L12-B5-1,S525J-L12-B5-1,5,1
666,S525J-L12-B5-1 (LAMPSHADE ONLY),S525J-L12-B5-1 (LAMPSHADE ONLY),8,3
667,S525J-L12-B5-1 (LED BOARD ONLY),S525J-L12-B5-1 (LED BOARD ONLY),8,1
668,S525J-L12-B5-1 (LIGHT KIT PAN ONLY),S525J-L12-B5-1 (LIGHT KIT PAN ONLY),8,1
669,S525J-L12-B5-1 (MOTOR COVER ONLY),S525J-L12-B5-1 (MOTOR COVER ONLY),9,1
670,S525J-L12-B5-1 (MOTOR ONLY),S525J-L12-B5-1 (MOTOR ONLY),3,4
671,S525J-L12-BG-1 (FAN BLADES ONLY),S525J-L12-BG-1 (FAN BLADES ONLY),9,1
672,S525J-L12-BG-1-FM,S525J-L12-BG-1-FM,4,1
673,S525J-L12-BG-1-FM,S525J-L12-BG-1-FM,5,1
674,S525J-L12-BG-1-FM (FAN BLADES ONLY),S525J-L12-BG-1-FM (FAN BLADES ONLY),9,1
675,S525J-L12-BG-1-FM (LED BOARD ONLY),S525J-L12-BG-1-FM (LED BOARD ONLY),1,1
676,S525J-L12-BG-1-FM (LED BOARD ONLY),S525J-L12-BG-1-FM (LED BOARD ONLY),2,1
677,S525J-L12-BG-1-FM (MOTOR ONLY),S525J-L12-BG-1-FM (MOTOR ONLY),3,5
678,S525J-L12-BG-1-FM (MOTOR ONLY),S525J-L12-BG-1-FM (MOTOR ONLY),8,1
679,S525J-L12-BG-1-FMA(LED BOARD & MAGNETS ONLY),S525J-L12-BG-1-FMA(LED BOARD & MAGNETS ONLY),10,1
680,S525J-L12-BO-1 (LAMPSHADE ONLY),S525J-L12-BO-1 (LAMPSHADE ONLY),8,1
681,S525J-L12-W1-1G-FM (LAMPSHADE ONLY),S525J-L12-W1-1G-FM (LAMPSHADE ONLY),8,3
682,S525J-L12-W1-1G-FM (MOTOR & ADAPTER ONLY),S525J-L12-W1-1G-FM (MOTOR & ADAPTER ONLY),3,1
683,S525J-L12-W1-1G-FM (MOTOR ONLY),S525J-L12-W1-1G-FM (MOTOR ONLY),3,3
684,S525J1-L11-B2-1-FM (MOTOR ONLY),S525J1-L11-B2-1-FM (MOTOR ONLY),3,1
685,S525J1-L11-B2-1G ( FAN BLADE BRACKETS ONLY),S525J1-L11-B2-1G ( FAN BLADE BRACKETS ONLY),17,5
686,S525J1-L11-B2-1G (FAN BLADES ONLY),S525J1-L11-B2-1G (FAN BLADES ONLY),10,1
687,S525J1-L11-B2-1G (FAN BLADES ONLY),S525J1-L11-B2-1G (FAN BLADES ONLY),17,1
688,S525J1-L11-B2-1G-FM (MOTOR ONLY),S525J1-L11-B2-1G-FM (MOTOR ONLY),3,3
689,S525J1-L11-B5-1,S525J1-L11-B5-1,4,1
690,S525J1-L11-B5-1,S525J1-L11-B5-1,5,1
691,S525J1-L11-B5-1 (LED BOARD ONLY),S525J1-L11-B5-1 (LED BOARD ONLY),8,1
692,S525J1-L11-B5-1 (MOTOR ONLY),S525J1-L11-B5-1 (MOTOR ONLY),3,1
693,S525J1-L11-B5-1(LAMPSHADE ONLY),S525J1-L11-B5-1(LAMPSHADE ONLY),8,1
694,S525J1-L11-B5-1(MOTOR ONLY),S525J1-L11-B5-1(MOTOR ONLY),3,1
695,S525J1-L11-BG-1-FM (LAMPSHADE ONLY),S525J1-L11-BG-1-FM (LAMPSHADE ONLY),8,1
696,S525J1-L11-W1-1 (LAMPSHADE ONLY),S525J1-L11-W1-1 (LAMPSHADE ONLY),8,1
697,S525J1-L11-W1-1 (LED BOARD & MAGNETS ONLY),S525J1-L11-W1-1 (LED BOARD & MAGNETS ONLY),8,1
698,S525J1-L11-W1-1G-FM (MOTOR ONLY),S525J1-L11-W1-1G-FM (MOTOR ONLY),1,2
699,S525J1-L11-W1-1G-FM (MOTOR ONLY),S525J1-L11-W1-1G-FM (MOTOR ONLY),3,1
700,S525J1-L12-B2-1 (LED BOARD & MAGNETS ONLY),S525J1-L12-B2-1 (LED BOARD & MAGNETS ONLY),17,1
701,S525J1-L12-W1-1 (MOTOR ONLY),S525J1-L12-W1-1 (MOTOR ONLY),3,1
702,S525J1-L21-B5-1-FM (LAMPSHADE ONLY),S525J1-L21-B5-1-FM (LAMPSHADE ONLY),8,1
703,S525J1-L21-B5-1-FM (MOTOR ONLY),S525J1-L21-B5-1-FM (MOTOR ONLY),6,1
704,S525J1-L21-B5-1-FM(MOTOR ONLY),S525J1-L21-B5-1-FM(MOTOR ONLY),3,1
705,S525J1-L21-BG-1-FM (LAMPSHADE ONLY),S525J1-L21-BG-1-FM (LAMPSHADE ONLY),8,1
706,S525J1-L21-BG-1-FM (MOTOR ONLY),S525J1-L21-BG-1-FM (MOTOR ONLY),2,1
707,S525J1-L21-BG-1-FM (MOTOR ONLY),S525J1-L21-BG-1-FM (MOTOR ONLY),3,1
708,S525J2-L21-B5-1-FM (MOTOR ONLY),S525J2-L21-B5-1-FM (MOTOR ONLY),3,1
709,S525Q2-L12-W1-1 (MOTOR ONLY),S525Q2-L12-W1-1 (MOTOR ONLY),3,1
710,S525S-L12-W1-1 (MOTOR ONLY),S525S-L12-W1-1 (MOTOR ONLY),3,1
711,S525S-L13-B5-1 (MOTOR ONLY),S525S-L13-B5-1 (MOTOR ONLY),3,2
712,S525S-L13-W1-1 (FAN BLADE GROMMETS ONLY),S525S-L13-W1-1 (FAN BLADE GROMMETS ONLY),10,5
713,S525W-L12-B5-1 (LIGHT KIT SCREWS ONLY),S525W-L12-B5-1 (LIGHT KIT SCREWS ONLY),10,3
714,S563B-L-12-B5-1 (COLLAR ONLY),S563B-L-12-B5-1 (COLLAR ONLY),10,1
715,S563B-L12-B2-1G (MOTOR & ADAPTER ONLY),S563B-L12-B2-1G (MOTOR & ADAPTER ONLY),3,1
716,S563B-L12-B5-1 (FAN BLADES ONLY),S563B-L12-B5-1 (FAN BLADES ONLY),17,1
717,S563B-L12-B5-1 (MOTOR ONLY),S563B-L12-B5-1 (MOTOR ONLY),3,1
718,S563B3-L22-W1-1 (LAMPSHADE ONLY),S563B3-L22-W1-1 (LAMPSHADE ONLY),8,1
719,S563F-L13-B2-1 (FAN BLADES ONLY),S563F-L13-B2-1 (FAN BLADES ONLY),9,1
720,S563F-L13-S8-1 (MOTOR ONLY),S563F-L13-S8-1 (MOTOR ONLY),3,1
721,S565B3-L22-B2-1G (GLASS LAMP SHADE),S565B3-L22-B2-1G (GLASS LAMP SHADE),8,1
722,S565B3-L22-B2-1G (LAMPSHADE ONLY),S565B3-L22-B2-1G (LAMPSHADE ONLY),8,2
